Focus,string,url,canvas_id,manifest_id
Full,"This painting, titled Baptismal Ceremony, was painted by Amico Aspertini between 1515 and 1520. It depicts the baptism of St. Augustine by St. Ambrose, Bishop of Milan, in 387 CE.","https://kress.iiifhosting.com/iiif/6c66953c497fdf2dcbd83e46356988dd937b8565ca5066380eb56670113eaae0//0,0,4383,3687/800,/0/default.jpg",http://7e5e2ee0-aecb-410f-874c-5738e37280fd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
St. Augustine,"St. Augustine kneels before the baptismal font, with his hands in a prayer position. ","https://kress.iiifhosting.com/iiif/6c66953c497fdf2dcbd83e46356988dd937b8565ca5066380eb56670113eaae0//1085,2104,1359,1403/800,/0/default.jpg",http://7e5e2ee0-aecb-410f-874c-5738e37280fd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
"St. Augustine, clothing","He wears a white cloth to represent the purity of life after baptism: past sins are forgotten, and the baptized person is now born again without sin.","https://kress.iiifhosting.com/iiif/6c66953c497fdf2dcbd83e46356988dd937b8565ca5066380eb56670113eaae0//1414,2690,641,526/800,/0/default.jpg",http://7e5e2ee0-aecb-410f-874c-5738e37280fd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
"St. Ambrose, Bishop of Milan",St. Ambrose wears his full regalia as he presides over St. Augustine's baptism. ,"https://kress.iiifhosting.com/iiif/6c66953c497fdf2dcbd83e46356988dd937b8565ca5066380eb56670113eaae0//2131,1151,986,1605/800,/0/default.jpg",http://7e5e2ee0-aecb-410f-874c-5738e37280fd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
"St. Ambrose, Mitre","He wears a mitre on his head, a traditional headdress of Catholic bishops.","https://kress.iiifhosting.com/iiif/6c66953c497fdf2dcbd83e46356988dd937b8565ca5066380eb56670113eaae0//2372,1167,400,373/800,/0/default.jpg",http://7e5e2ee0-aecb-410f-874c-5738e37280fd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
"St. Ambrose, Clothing","The baptism occurred during Easter, the time when the liturgical color is white, so St. Ambrose dons white robes with an intricate gold cloak.","https://kress.iiifhosting.com/iiif/6c66953c497fdf2dcbd83e46356988dd937b8565ca5066380eb56670113eaae0//2345,1605,663,915/800,/0/default.jpg",http://7e5e2ee0-aecb-410f-874c-5738e37280fd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
"St. Ambrose, Staff","He also carries a crozier staff which mimics a pastoral staff, a common Catholic staff design which alludes to the depiction of Christ as the Good Shepherd.","https://kress.iiifhosting.com/iiif/6c66953c497fdf2dcbd83e46356988dd937b8565ca5066380eb56670113eaae0//2767,1249,351,882/800,/0/default.jpg",http://7e5e2ee0-aecb-410f-874c-5738e37280fd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
St. Monica,"St. Monica accompanies her son St. Augustine. Monica greatly influenced Augustine's religious experience, hence her presence at his baptism. ","https://kress.iiifhosting.com/iiif/6c66953c497fdf2dcbd83e46356988dd937b8565ca5066380eb56670113eaae0//1737,1200,679,1118/800,/0/default.jpg",http://7e5e2ee0-aecb-410f-874c-5738e37280fd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
"St. Monica, Clothing","Artists often depict her in blue, a color usually associated with the Virgin Mary. Blue is also a sorrowful color, which reflects Monica's tumultuous life.","https://kress.iiifhosting.com/iiif/6c66953c497fdf2dcbd83e46356988dd937b8565ca5066380eb56670113eaae0//1715,1556,718,701/800,/0/default.jpg",http://7e5e2ee0-aecb-410f-874c-5738e37280fd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
"St. Monica, bible","She reads from an open book, likely the Bible. ","https://kress.iiifhosting.com/iiif/6c66953c497fdf2dcbd83e46356988dd937b8565ca5066380eb56670113eaae0//2076,1616,345,351/800,/0/default.jpg",http://7e5e2ee0-aecb-410f-874c-5738e37280fd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
Jesus,"Jesus appears as a child, alluding to a well-known story of St. Augustine meeting a child on a beach in Genoese archbishop Jacobus de Voragine's Golden Legend, a 13th-century text.","https://kress.iiifhosting.com/iiif/6c66953c497fdf2dcbd83e46356988dd937b8565ca5066380eb56670113eaae0//2268,2635,636,899/800,/0/default.jpg",http://7e5e2ee0-aecb-410f-874c-5738e37280fd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
